AppDisplayName,AppId
AAD App Management,f0ae4899-d877-4d3c-ae25-679e38eea492
AAD Request Verification Service - PROD,c728155f-7b2a-4502-a08b-b8af9b269319
AADReporting,1b912ec3-a9dd-4c4d-a53e-76aa7adb28d7
Azure Credential Configuration Endpoint Service,ea890292-c8c8-4433-b5ea-b09d0668e1a6
Azure Information Protection,5b20c633-9a48-4a5f-95f6-dae91879051f
Azure MFA StrongAuthenticationService,b5a60e17-278b-4c92-a4e2-b9262e66bb28
Azure Portal,c44b4083-3bb0-49c1-b47d-974e53cbdf3c
Azure Resource Graph,509e4652-da8d-478d-a730-e9d4a1996ca4
AzureSupportCenter,37182072-3c9c-4f6a-a4b3-b3f91cacffce
Bing,9ea1ad79-fdb6-4f9a-8bc3-2b70f96e34c7
Common Data Service License Management,1c2909a7-6432-4263-a70d-929a3c1f9ee5
ComplianceWorkbenchApp,92876b03-76a3-4da8-ad6a-0511ffdf8647
Conference Auto Attendant,207a6836-d031-4764-a9d8-c1193f455f21
Conferencing Virtual Assistant,9e133cac-5238-4d1e-aaa0-d8ff4ca23f4e
Cortana at Work Service,2a486b53-dbd2-49c0-a2bc-278bdfc30833
Cortana Runtime Service,81473081-50b9-469a-b9d8-303109583ecb
CPIM Service,bb2a2e3a-c5e7-4f0a-88e0-8e01fd3fc1f4
Customer Experience Platform PROD,2220bbc4-4518-4fef-aac6-c6f32e9f9fd1
Customer Service Trial PVA,944861d3-5975-4f8b-afd4-3422c0b1b6ce
Customer Service Trial PVA - readonly,6abc93dc-978e-48a3-8e54-458e593ed8cf
Device Registration Service,01cb2876-7ebd-4aa4-9cc9-d28bd4d359a9
Dynamics Data Integration,2e49aa60-1bd3-43b6-8ab6-03ada3d9f08b
Dynamics Lifecycle services,913c6de4-2a4a-4a61-a9ce-945d2b2ce2e0
IC3 Long Running Operations Service,21a8a852-89f4-4947-a374-b26b2db3d365
IDML Graph Resolver Service and CAD,d88a361a-d488-4271-a13f-a83df7dd99c2
IpLicensingService,189cf920-d3d8-4133-9145-23adcc6824fa
IPSubstrate,4c8f074c-e32b-4ba7-b072-0f39d71daf51
M365 Label Analytics,75513c96-801d-4559-830a-6754de13dd19
M365 License Manager,aeb86249-8ea3-49e2-900b-54cc8e308f85
MCAPI Authorization Prod,d73f4b35-55c9-48c7-8b10-651f6f2acb2e
Messaging Augmentation Application,f7c7f738-cb99-4489-9da3-57b15655c430
Messaging Bot API Application,5a807f24-c9de-44ee-a3a7-329e88a00ffc
Microsoft 365 Security and Compliance Center,80ccca67-54bd-44ab-8625-4b79c4dc7775
Microsoft B2B Admin Worker,1e2ca66a-c176-45ea-a877-e87f7231e0ee
